,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,0,CL,1563894176,80,-53.16,-70.91,35.6,9.17
2,San Lorenzo,0,HN,1563894177,66,13.43,-87.45,84.2,1.14
3,Port Blair,86,IN,1563894177,80,11.67,92.75,84.33,21.52
5,San Vicente,90,EC,1563894190,94,-0.59,-80.41,71.6,11.41
6,Vaini,100,IN,1563894177,92,15.34,74.49,77.13,3.87
7,Ulety,100,RU,1563894178,93,51.36,112.48,55.89,3.04
8,Ushuaia,75,AR,1563893927,74,-54.81,-68.31,35.6,16.11
9,Rocha,100,UY,1563894191,72,-34.48,-54.34,54.81,12.93
10,Danville,1,US,1563894191,60,37.82,-122,69.01,5.82
11,San Rafael del Sur,75,NI,1563894055,74,11.85,-86.44,80.6,4.7
12,Oksfjord,20,NO,1563894192,64,70.24,22.35,71.6,6.93
13,New Norfolk,40,AU,1563894192,92,-42.78,147.06,44.6,12.75
14,Provideniya,100,RU,1563894192,96,64.42,-173.23,44.37,3.49
15,Busselton,100,AU,1563894180,62,-33.64,115.35,59,6.42
16,Nichinan,100,JP,1563894180,93,31.65,131.31,74.43,3.67
18,Kihei,20,US,1563894180,65,20.76,-156.45,78.8,3.36
20,Mataura,3,NZ,1563894181,98,-46.19,168.86,39.99,4.61
21,Bredasdorp,67,ZA,1563894181,62,-34.53,20.04,59,12.75
22,Sao Mateus do Maranhao,43,BR,1563894036,52,-4.04,-44.48,87.03,8.28
23,Tuktoyaktuk,90,CA,1563894181,87,69.44,-133.03,50,12.75
24,Gat,0,SN,1563894181,55,14.69,-16.54,87.8,9.17
25,Bethel,90,US,1563893991,87,60.79,-161.76,55.4,7.72
26,Talisayan,75,PH,1563894065,78,14.31,120.97,82.4,6.93
27,Hilo,75,US,1563894182,83,19.71,-155.08,71.6,3.36
28,Harper,20,US,1563894182,57,30.3,-99.24,80.6,13.87
29,Kruisfontein,16,ZA,1563894183,57,-34,24.73,59.85,33.4
30,Champasak,100,LA,1563894183,91,14.89,105.88,76.41,1.21
31,Pisco,90,PE,1563894183,30,-13.71,-76.2,71.6,8.05
32,Castro,40,CL,1563894183,100,-42.48,-73.76,37.4,3.15
33,Upernavik,0,GL,1563894184,61,72.79,-56.15,47.07,7.85
34,East London,0,ZA,1563894184,13,-33.02,27.91,86,20.8
35,Amarastii de Jos,20,RO,1563894184,45,43.95,24.17,88,9.17
37,Barrow,0,AR,1563894185,29,-38.31,-60.23,51.39,12.62
38,Puerto Ayora,75,EC,1563894185,78,-0.74,-90.35,71.6,14.99
39,Laguna,90,BZ,1563894185,88,16.17,-88.94,80.6,2.33
40,Khatanga,100,RU,1563894186,53,71.98,102.47,52.65,12.03
41,Mentakab,100,MY,1563894195,97,3.49,102.35,73.17,2.84
42,Yellowknife,20,CA,1563894196,60,62.45,-114.38,68,4.7
43,Kapaa,40,US,1563894196,74,22.08,-159.32,80.6,11.41
44,Havelock,1,US,1563893975,74,34.88,-76.9,90,13.87
47,Saskylakh,94,RU,1563894196,70,71.97,114.09,50.67,6.15
48,Avera,40,US,1563894197,66,33.19,-82.53,90,8.05
